cnpj;matriz;data_abertura;n_razao_social;cd_natureza_juridica;de_natureza_juridica;nm_logradouro;nu_logradouro;cep;bairro;municipio;uf;situacao;classif_natureza_juridica;vl_latitude;vl_longitude;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;simples;qt_filial;simei;de_saude_tributaria;de_nivel_atividade
12305448000100;MATRIZ;2010-07-30;GIOVANNA SOUZA DE LIMA DATE MEI;2135;EMPRESARIO INDIVIDUAL;ALAMEDA DAS ANDORINHAS CONDOMINIO ARUA ACAMPAR;59;04880230;RECANTO CAMPO BELO;SAO PAULO;SP;ATIVA;PRIVADO;-23,5505199;-46,6333094;S/N;S/N;S/N;SIM;S/N;SIM;VERDE;MEDIA
14180365000150;MATRIZ;2011-08-24;NETO JUNIOR REPRESENTACOES COMERCIAIS LTDA ME;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DO CRUZEIRO;495;45604620;JOAO SOARES;ITABUNA;BA;ATIVA;PRIVADO;-14,7809311;-39,2636;S/N;S/N;S/N;NAO;S/N;NAO;AMARELO;MEDIA
01144533000100;MATRIZ;1996-04-04;T P V CONSTRUCOES ELETRICAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA VITOR DE QUEIROZ MATOS;105;03263010;PARQUE SAO LUCAS;SAO PAULO;SP;BAIXADA;PRIVADO;-23,5907593;-46,5486725;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
01911869000150;MATRIZ;1997-05-06;LUIZA DE FATIMA CAMPOS DE SOUZA;2135;EMPRESARIO INDIVIDUAL;RUA ANTONIO GALDINO MARCA;167;36660000;VILA CAXIAS;ALEM PARAIBA;MG;BAIXADA;PRIVADO;-21,8833835;-42,6985095;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
00243955000170;MATRIZ;1994-10-01;E C PINTO PRADO & CIA LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA PORTAO DA PIEDADE;155;40070045;BARRIS;SALVADOR;BA;BAIXADA;PRIVADO;-12,9830488;-38,5136913;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
00890690000100;MATRIZ;1995-10-02;LUCIANO OLIVEIRA DA SILVA ME;2135;EMPRESARIO INDIVIDUAL;AVENIDA CANDIDO PORTINARI;970;05114001;VILA JAGUARA;SAO PAULO;SP;BAIXADA;PRIVADO;-23,5072955;-46,7555407;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
00887641000100;MATRIZ;1995-09-15;VZW LANCHES LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA 24 DE MAIO;574;83323060;VILA TARUMA;PINHAIS;PR;BAIXADA;PRIVADO;-25,4387247;-49,1949172;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
00092783000180;MATRIZ;1982-06-25;SAUNA NACOES UNIDAS LTDA;2062;SOCIEDADE EMPRESARIA LIMITADA;RUA DESEMBARGADOR JAIME;141;75020040;SETOR CENTRAL;ANAPOLIS;GO;BAIXADA;PRIVADO;-16,3273047;-48,9533426;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
09320876000190;MATRIZ;2008-01-11;CARLOS ALEXANDRE DE MORAIS ESTACIONAMENTO ME;2135;EMPRESARIO INDIVIDUAL;RUA VAIL JUSTINIANO TOLEDO;113;19700000;JARDIM MURILO MACEDO;PARAGUACU PAULISTA;SP;BAIXADA;PRIVADO;-22,432076;-50,5803154;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
01846005000100;MATRIZ;1986-04-15;ANTONIO JOSE DA SILVA RUBIM;2135;EMPRESARIO INDIVIDUAL;RUA PARAENSE;SN;77930000;CENTRO;AXIXA DO TOCANTINS;TO;BAIXADA;PRIVADO;-5,6149591;-47,7708204;S/N;S/N;S/N;NAO;S/N;NAO;S/N;INATIVA
