chave;cnpj;nr_natureza_juridica;matriz;simples;simei;classificação;situacao
2135-1230-2010;12305448000100;2135;1;1;1;PRIVADO;ATIVA
2062-1418-2011;14180365000150;2062;1;0;0;PRIVADO;ATIVA
2062-0114-1996;01144533000100;2062;1;0;0;PRIVADO;BAIXADA
2135-0191-1997;01911869000150;2135;1;0;0;PRIVADO;BAIXADA
2062-0024-1994;00243955000170;2062;1;0;0;PRIVADO;BAIXADA
2135-0089-1995;00890690000100;2135;1;0;0;PRIVADO;BAIXADA
2062-0088-1995;00887641000100;2062;1;0;0;PRIVADO;BAIXADA
2062-0009-1982;00092783000180;2062;1;0;0;PRIVADO;BAIXADA
2135-0932-2008;09320876000190;2135;1;0;0;PRIVADO;BAIXADA
2135-0184-1986;01846005000100;2135;1;0;0;PRIVADO;BAIXADA
2062-0561-2003;05610297000120;2062;1;0;0;PRIVADO;BAIXADA
2135-1504-2012;15044857000180;2135;1;1;1;PRIVADO;ATIVA
2135-1502-2012;15028623000140;2135;1;1;1;PRIVADO;ATIVA
2135-0729-2005;07297742000170;2135;1;1;0;PRIVADO;ATIVA
2062-1529-2012;15291845000150;2062;1;1;0;PRIVADO;ATIVA
2062-1509-2012;15090404000190;2062;1;1;0;PRIVADO;ATIVA
2046-9040-2010;90400888251650;2046;0;0;0;PRIVADO;ATIVA
2062-1225-2010;12254288000100;2062;1;0;0;PRIVADO;ATIVA
2062-0422-2001;04226709000160;2062;1;0;0;PRIVADO;ATIVA
3999-1667-1973;16679748000100;3999;1;0;0;PRIVADO;ATIVA
2062-0779-2006;07793444000170;2062;1;0;0;PRIVADO;ATIVA
2135-0322-1999;03220549000180;2135;1;1;0;PRIVADO;ATIVA
3999-0168-1996;01687525000100;3999;1;0;0;PRIVADO;ATIVA
2135-1177-2010;11772974000100;2135;1;1;0;PRIVADO;ATIVA
2062-0585-2009;05850538000290;2062;0;0;0;PRIVADO;ATIVA
2062-8639-1994;86396371000150;2062;1;1;0;PRIVADO;ATIVA
2062-5279-1983;52792652000100;2062;1;0;0;PRIVADO;ATIVA
3999-1581-2012;15818386000110;3999;1;0;0;PRIVADO;BAIXADA
2062-0149-1996;01498181000190;2062;1;1;0;PRIVADO;ATIVA
2062-8049-1988;80495856000700;2062;0;0;0;PRIVADO;ATIVA
2135-0218-1997;02186486000120;2135;1;1;0;PRIVADO;ATIVA
2062-6507-1997;65070146000230;2062;0;0;0;PRIVADO;ATIVA
2062-0205-1997;02053352000130;2062;1;0;0;PRIVADO;ATIVA
2062-0631-1975;06319255001170;2062;0;0;0;PRIVADO;ATIVA
2313-1088-2009;10886199000150;2313;1;1;0;PRIVADO;ATIVA
2240-1201-2010;12019359000190;2240;1;0;0;PRIVADO;ATIVA
2062-0621-2004;06216178000150;2062;1;0;0;PRIVADO;ATIVA
2135-1245-2010;12459122000120;2135;1;1;1;PRIVADO;ATIVA
4120-1053-2008;10532571000120;4120;1;0;0;PRIVADO;ATIVA
2062-1116-2009;11163415000100;2062;1;0;0;PRIVADO;ATIVA
3220-2096-1978;20963351002230;3220;0;0;0;PRIVADO;ATIVA
3999-5505-1988;55055743000150;3999;1;0;0;PRIVADO;ATIVA
2062-1119-2009;11199599000150;2062;1;1;0;PRIVADO;ATIVA
2135-0944-2008;09445384000120;2135;1;1;0;PRIVADO;ATIVA
2135-8730-1973;87301180000120;2135;1;0;0;PRIVADO;ATIVA
2062-0873-2007;08739568000130;2062;1;0;0;PRIVADO;ATIVA
2135-0450-2001;04500550000120;2135;1;0;0;PRIVADO;ATIVA
2135-1281-2010;12810402000130;2135;1;1;0;PRIVADO;ATIVA
2232-0541-2002;05410317000110;2232;1;0;0;PRIVADO;BAIXADA
2062-1222-2010;12223579000130;2062;1;1;0;PRIVADO;ATIVA
2135-9661-1993;96617865000170;2135;1;0;0;PRIVADO;ATIVA
4120-0804-2006;08047579000150;4120;1;0;0;PRIVADO;ATIVA
4090-0987-2008;09873296000120;4090;1;0;0;PRIVADO;BAIXADA
